"uhf_id","uhf_code","uhf_km2","uhf_lndkm2","uhf_strint","uhf_intden","uhf_sub12c","uhf_sub12d","uhf_strkm2","uhf_strpct","uhf_wlkkm2","uhf_wlkpct","uhf_cpykm2","uhf_cpypct","uhf_rbckm2","uhf_rbcpct","uhf_swckm2","uhf_swcpct","uhf_svd_c","uhf_svd_m","uhf_sim1_m","uhf_sim2_m","uhf_sim3_m","uhf_sim4_m","uhf_sim5_m","uhf_sim6_m","uhf_sim7_m","uhf_sim8_m","uhf_sim9_m","uhf_sim10_","uhf_reskm2","uhf_respct","uhf_comkm2","uhf_compct","uhf_lumixa","uhf_b1","uhf_b2","uhf_b3","uhf_b4","uhf_b5","uhf_a","uhf_n","uhf_rtlfar","uhf_entrpy","uhf_resdn1","uhf_resdn1_z","uhf_intden_z","uhf_entrpy_z","uhf_rtlfar_z","uhf_sub12d_z","uhf_beh_walk","uhf_beh_walk_cat"
2,101,12.2737306925,12.1111680322,434,35.8346939656,4,0.3302736771,1.54609373814,0.12765851601,0.42270939774,0.03490244678,5.68392997647,0.46931311343,0.35165687183,0.02903575203,0.17638223312,0.01456360218,4835,-0.120716,-0.093383,-0.070699,-0.121556,-0.151934,-0.127147,-0.099927,-0.092649,-0.123546,-0.134574,-0.110806,4.404508,0.91874701731,0.38953,0.08125298269,0.29860374197,3443629.07467,1e-006,47499466.4021,1478932,1115732.17395,53537759.6508,5,0.41466076862,0.287352020443,"9479.14037101093",-0.335711270570755,-1.55011355876923,-0.992321610450745,-0.385527551174164,-0.644511461257935,-3.90818548202515,1
3,102,16.8818398735,16.8635167177,934,55.3858377013,8,0.4743968968,3.0310725917,0.17974142893,1.15896554184,0.06872620707,3.44940502797,0.20454838013,0.38906637089,0.02307148488,0.31436662717,0.01864181905,6719,-0.086353,-0.099315,-0.094264,-0.087816,-0.076851,-0.085964,-0.056859,-0.082122,-0.098172,-0.087331,-0.077881,7.255626,0.89338440519,0.865879,0.10661559481,0.38099483902,4691527.12931,45173,78225026.392,4049723.13155,4152006.32069,91163455.9736,5,0.33884717791,0.352184428205,"9382.11976136105",-0.40486067533493,-0.432356297969818,-0.401716113090515,-0.700363218784332,-0.532111167907715,-2.47140741348267,2
4,103,13.0308651879,12.6133670662,679,53.8317799233,14,1.10993360667,2.33339053645,0.18499346956,0.89663869042,0.07108638682,3.26314700379,0.25870546593,0.3389471369,0.02687205844,0.22259604298,0.01764763063,5050,0.179598,0.191634,0.189522,0.166572,0.165535,0.182441,0.178148,0.195711,0.156361,0.17704,0.192246,8.169818,0.90597427576,0.847897,0.09402572424,0.34073954968,8720523.90657,42220,89243608.935,5322199.97751,8110662.19076,111439215.01,5,0.32762674907,0.445001136636,"10614.35270506887",0.47338730096817,-0.521203219890594,0.443818747997284,-0.74695897102356,-0.036462314426899,-0.387418448925018,2
5,104,36.8739674671,36.8333987659,1759,47.7555712732,13,0.35294054949,5.58661172334,0.15167244703,1.8101156983,0.04914332532,8.21774561429,0.22310581944,0.59205956766,0.01607398686,0.46659309433,0.01266766332,14667,-0.129189,-0.117197,-0.146274,-0.118617,-0.111547,-0.114206,-0.127749,-0.133318,-0.11122,-0.122737,-0.132766,10.799035,0.87643575846,1.522501,0.12356424154,0.433184479,6837623.8622,151182.505268,116364136.629,6556605.44215,7789230.40692,137698778.846,5,0.07504659141,0.376710533199,"10461.30759061311",0.364307641983032,-0.868585824966431,-0.178289994597435,-1.79586374759674,-0.62683379650116,-3.10526561737061,1
6,105,9.80989847174,9.77885570651,655,66.9812521688,9,0.92035308324,1.88652940996,0.1929192399,0.84231286154,0.08613613769,2.09682431164,0.21442430225,0.16020852714,0.01638315688,0.16570009208,0.01694473229,3911,0.226235,0.241011,0.226628,0.237464,0.224031,0.24725,0.195391,0.228719,0.23793,0.225877,0.236266,6.501252,0.8846796489,0.847456,0.1153203511,0.4080862709,7321442,1e-006,70038116.3581,3260682.36718,8385542.78647,89005783.5117,5,0.47937716916,0.458391245005,"11357.56658117590",1.00309729576111,0.230564475059509,0.565798938274384,-0.11677585542202,-0.18431431055069,1.49837052822113,4
7,106,7.95412871848,7.9541287326,558,70.1522465576,10,1.25720871967,1.72334454163,0.21666037847,0.76801062632,0.09655496562,1.03292224308,0.12985988507,0.11048958444,0.0138908469,0.16510012871,0.02075653214,3176,0.24749,0.244591,0.239046,0.253469,0.246485,0.249955,0.220675,0.260765,0.247528,0.259815,0.250903,6.75682,0.8474997418,1.215831,0.1525002582,0.5169757178,6727857.1609,8565,73143028.9102,4245491.32735,9963245.15114,94088187.5496,5,0.49573343293,0.473958264515,"10846.99787457833",0.639200210571289,0.411853224039078,0.707610249519348,-0.0488522164523602,0.0783961117267609,1.78820753097534,4
8,107,12.292396921,12.2916691636,600,48.813549406,14,1.13898281947,2.43121723458,0.19779390433,0.84097444337,0.0684182459,0.87073916019,0.07083978169,0.08853891897,0.00720316483,0.13748082193,0.01118487816,4912,-0.002941,0.003644,0.004185,0.029811,0.008466,-0.011449,0.018211,0.00775,0.001954,-4.2e-005,-0.014944,4.481554,0.69641996744,1.953577,0.30358003256,0.84567678556,4142139.8391,4300,48533136.8205,3849131.67203,5788235.097,62316943.4286,5,0.60918883562,0.477349844865,"10826.07404061024",0.624287188053131,-0.80810022354126,0.738506615161896,0.42230087518692,-0.0138071160763502,0.963187336921692,4
9,201,9.18261301264,9.1793048501,695,75.7137943831,9,0.98046640208,1.73902393268,0.18945050427,0.85560297682,0.09320999692,0.81253766879,0.08851843163,0.15346006587,0.01671804874,0.1727798873,0.01882276383,3653,0.279273,0.255415,0.294594,0.262789,0.262063,0.23089,0.264943,0.280437,0.262941,0.292532,0.282126,4.817102,0.67414013185,2.328448,0.32585986815,0.87870085791,2534103,160390,53323028.0724,4058487,3315605.35492,63391613.4273,5,0.63317680807,0.384991095296,"11118.97917490391",0.833049118518829,0.729812145233154,-0.102856338024139,0.521917164325714,-0.137432530522347,1.84448957443237,4
10,202,16.4106979541,16.4097053039,1145,69.7757807831,28,1.70630730299,3.06553103148,0.18681207095,1.43967414942,0.08773308982,2.61823288606,0.1595539248,0.49052619023,0.0298924436,0.45997195372,0.02803048228,6532,-0.034741,-0.055264,-0.045839,0.005983,-0.050857,-0.033171,-0.023852,-0.065194,-0.028966,-0.017783,0.008866,10.54225,0.67439494871,5.08991,0.32560505129,0.87834560745,10328546,304730,114737823.044,10779737.1682,27634344.5709,163785180.783,5,0.65101465902,0.568287518379,"10633.52681358309",0.487053245306015,0.39033031463623,1.56692397594452,0.595993459224701,0.428643703460693,3.46894478797913,5
11,203,15.4437146662,15.4370380427,1014,65.6861761431,28,1.81381945957,2.83448184139,0.18361565435,1.61436895015,0.10457763631,2.71567380988,0.17591935722,0.43030994734,0.02787516272,0.43834434646,0.0283956252,6181,0.152752,0.129616,0.159695,0.176609,0.12791,0.14241,0.14933,0.176989,0.159786,0.121313,0.169779,12.514897,0.90163587302,1.365315,0.09836412698,0.35475450202,8708349,29984,135575683.702,6419491.99844,9467442,160200950.701,5,0.6646006052,0.371077495406,"10688.16146051662",0.525992929935455,0.156523764133453,-0.229605421423912,0.65241265296936,0.512491405010223,1.61781537532806,4
