"cd_id","boro_cd","cd_km2","cd_lndkm2","cd_strint","cd_intden","cd_sub12c","cd_sub12d","cd_b1","cd_b2","cd_b3","cd_b4","cd_b5","cd_a","cd_n","cd_rtlfar","cd_reskm2","cd_entrpy","cd_resdn1","cd_resdn1_z","cd_intden_z","cd_entrpy_z","cd_rtlfar_z","cd_sub12d_z","cd_beh_walk","cd_beh_walk_cat"
39,311,9.59924325797,9.59924325797,672,70.0055183456,15,1.56262317736,2388306,22670,68427750.3323,4681042.52706,2221768.08254,77741536.9419,5,0.64323618095,6.35714602623,0.30599688691,"10368.48921262480",0.389977395534515,0.454547733068466,-0.651544034481049,0.607894957065582,0.246024295687675,1.04690039157867,4
40,312,9.27487380838,9.27487380838,578,62.3189071832,12,1.29381814221,5658745,15000,72649561.2116,4130487.41908,3193110,85646903.6306,5,0.7264340585,6.74936509122,0.366268457719,"8873.27907004182",-0.0673752948641777,0.152331486344337,-0.17867648601532,0.898172676563263,0.0622867941856384,0.866739153862,3
41,313,8.27693417476,8.27481233828,468,56.5571738509,6,0.72509197245,2710294,268906,44748083.9374,2308294.30921,4263815.6407,54299393.8873,5,0.3384097716,4.15723303196,0.415906729176,"10980.81555827828",0.577274918556213,-0.0742038935422897,0.210766270756722,-0.455645561218262,-0.326457142829895,-0.0682654082775116,2
42,314,7.63367423928,7.63367423928,486,63.6652789687,8,1.04798813117,4784024,108956,68162535.434,3393677,2362815,78812007.434,5,0.78027922124,6.33250675592,0.338819132711,"9382.38241032156",0.0883484929800034,0.20526710152626,-0.394033312797546,1.08603858947754,-0.105746485292912,0.879874408245087,3
43,315,12.2597309301,12.2445643661,1071,87.467382912,8,0.65335113286,2955638.85209,268125.506024,74488814.5862,4526097.06666,3915327.83824,86154003.8493,5,0.57088452084,6.92023732106,0.344663874089,"9239.01448337236",0.0444953180849552,1.14109981060028,-0.34817773103714,0.355459719896317,-0.375494480133057,0.817382633686066,3
44,316,4.80969905144,4.80969905144,372,77.3437165239,11,2.28704538108,2864369,1e-006,34045727.9178,1964857,2622128,41497081.9178,5,0.6796355643,3.16295162258,0.413705005599,"11089.00931321814",0.610369026660919,0.743065357208252,0.193492397665977,0.734892547130585,0.741191804409027,3.02301120758057,5
45,317,8.71418106794,8.71418106794,670,76.8861691967,4,0.45902190565,4202022,40000,57407553.6816,2884092.15861,1303421,65837088.8402,5,0.60026660588,5.33333625598,0.319528739099,"10473.74426042612",0.422172665596008,0.725075840950012,-0.54537832736969,0.457973927259445,-0.508325219154358,0.55151891708374,3
46,318,22.0144596776,22.0043792194,1495,67.9410214255,3,0.13633649784,2884823.38167,58048,76127547.1737,5179967.28658,3003959.03913,87254344.8811,5,0.30384718113,7.07248056018,0.323245834613,"9139.21128225683",0.0139676611870527,0.373377442359924,-0.516215443611145,-0.576234579086304,-0.728891789913177,-1.43399667739868,1
49,401,15.9307386626,15.9160482921,991,62.2641991161,12,0.75395599333,3411682,503645,69764353.0917,5529953.44907,6279924.09,85489557.6308,5,0.53177166611,6.48132048585,0.430960472461,"12345.19449801318",0.994609117507935,0.150180518627167,0.32887214422226,0.218994826078415,-0.306727588176727,1.38592898845673,4
50,402,12.9959074944,12.9950628518,847,65.1785997236,15,1.15428452875,3234044,281167,41191107.1515,3254071.9945,8225369.12437,56185759.2704,5,0.52589360962,3.82677907534,0.537275342985,"11867.87616503047",0.84860771894455,0.264766663312912,1.16297769546509,0.198486268520355,-0.0330892391502857,2.44174909591675,5
51,403,7.70730012547,7.70730012546,653,84.7248698468,6,0.77848272447,1629893,44700,52574911.344,3112931.84728,1561726,58924162.1912,5,0.60804272038,4.88436909159,0.284567258449,"10693.70449495760",0.489453792572021,1.03327178955078,-0.819672644138336,0.485104829072952,-0.289962708950043,0.898195028305054,3
52,404,6.10501073591,6.10501073591,592,96.9695264445,9,1.47419888176,2268307,22500,49020076.4807,4141210.7455,1877190,57329284.2262,5,0.92066824433,4.55411412609,0.352005203825,"11309.11491764745",0.677694618701935,1.51469779014587,-0.290580481290817,1.57585644721985,0.185583248734474,3.66325163841248,5
53,405,19.5521272233,19.529225258,1478,75.6814456526,6,0.30723184974,3133550,33635,69798224.8735,5017926.32404,1812557.21191,79795893.4094,5,0.62060255654,6.48446727735,0.315285347956,"10107.20800888251",0.310057103633881,0.677709460258484,-0.57867032289505,0.528926134109497,-0.612078905105591,0.325943470001221,2
54,406,7.67587000454,7.67587000453,853,111.127468221,5,0.65139195909,1705692,118367,60229878.9535,3897863,2697087,68648887.9535,5,0.7812165922,5.59553885361,0.315400262044,"9840.81015655834",0.228571698069572,2.07134890556335,-0.577768743038177,1.08930909633636,-0.376833647489548,2.43462729454041,4
55,407,30.3421609144,30.1398981787,1990,66.0254387125,1,0.03317861242,3416703,361265.895811,106921098.438,7213915.09862,6261347.3326,124174329.765,5,0.46740176604,9.93329508504,0.348328703957,"9292.11762847833",0.0607384331524372,0.298062026500702,-0.319424897432327,-0.00559200113639236,-0.799403727054596,-0.765620172023773,2
56,408,19.2851914427,19.2679115009,1285,66.6911927606,4,0.20759904361,11397495,1e-006,64917216.2741,2502471.26548,2143867.1518,80961049.6914,5,0.45329906895,6.03100674021,0.408040563667,"9262.03409113483",0.0515365228056908,0.324237644672394,0.149051368236542,-0.054796364158392,-0.680181384086609,-0.210152208805084,2
57,409,9.96175623045,9.96175623045,868,87.133230318,9,0.90345515307,1608965.31664,9130,48242689.9833,2480783,1984469,54326037.3,5,0.54287501206,4.48189255723,0.293887759027,"10007.56719383788",0.279579102993011,1.12796187400818,-0.74654757976532,0.257734447717667,-0.204539760947227,0.714188098907471,3
58,410,15.9362185083,15.8321101195,1063,67.1420292037,8,0.50530219532,2196324,59000,44274779.6264,2443110.47921,703575.230624,49676789.3363,5,0.51625720435,4.11326162262,0.283905504898,"9442.10425537460",0.106616124510765,0.341963261365891,-0.824864506721497,0.164864808320999,-0.476691007614136,-0.688111305236816,2
59,411,24.1786451758,23.6704344162,1653,69.8339528094,0,0,4007127,1e-006,58630876.6676,2499641.47458,1951804.80886,67089449.951,5,0.45874534627,5.44698668028,0.31785572974,"8082.76551343337",-0.309176445007324,0.447802245616913,-0.558504104614258,-0.0357942841947079,-0.822082459926605,-1.27775502204895,1
60,412,24.8352073515,24.7184171706,2157,87.2628690224,6,0.24273398894,4685286,33550,81190190.3911,6012276,5643733,97565035.3911,5,0.41818847151,7.54281550551,0.3964223781,"9686.30345809878",0.181311413645744,1.1330589056015,0.0578995570540428,-0.177297368645668,-0.656165421009064,0.538807094097137,3
61,413,32.574875902,31.6378855054,2400,75.858419792,0,0,4211569,1e-006,73612417.0194,3003175.6457,2461610.4054,83288772.0705,5,0.29156698899,6.83881732285,0.300694367035,"8832.45820291976",-0.0798615217208862,0.684667587280273,-0.693145573139191,-0.619080185890198,-0.822082459926605,-1.52950215339661,1
62,414,17.9568061727,17.7885551952,1269,71.3380027818,11,0.61837512262,2615108.1935,19592.682371,51467415.8595,1610263.46279,615446.313673,56327826.5118,5,0.07747603428,4.78147939429,0.235311016491,"9598.00085319548",0.154301553964615,0.506937325000763,-1.20611810684204,-1.3660444021225,-0.399401783943176,-2.31032538414001,1
68,501,35.1439205277,34.1645149156,2413,70.6288383125,4,0.11708054424,4862582.51312,157328,74900135.9701,4961767.341,5971380.9327,90853194.7569,5,0.24980070955,6.95845032803,0.412937712949,"9080.10372082470",-0.00411207368597388,0.47905495762825,0.187472522258759,-0.764802932739258,-0.742053866386414,-0.844441413879395,2
69,502,54.0107163223,48.7921168389,2092,42.8757786203,6,0.12297068438,4456215.34598,57712,68405329.4445,5944611.35732,5081696.82283,83945564.9706,5,0.32637791305,6.35506305759,0.425580472819,"7625.75802194373",-0.448965221643448,-0.612118422985077,0.286662727594376,-0.497624754905701,-0.738027811050415,-2.01007342338562,1
70,503,55.5976470781,53.9427207827,2708,50.2013980887,12,0.22245818946,3354111.12907,68238.088127,91601154.3554,2943265.04205,2119595.40292,100086364.018,5,0.14958517522,8.51002570712,0.239333844339,"6953.82939234898",-0.654493749141693,-0.324095368385315,-1.17455661296844,-1.11445534229279,-0.670024633407593,-3.93762564659119,1
